# 거리 단위 수정 보고서
생성일: 2025-11-24T09:25:24.746Z

## 요약
- 수정 대상: 977개
- 성공: 977개
- 실패: 0개

## 수정 내역

| ID | 산 | 등산로 | 기존 거리 | 수정 거리 |
| b31d473f-a0b9-4f21-ada2-e468c3009288 | 천성산 | 천성산 2번 코스 (역방향) | 18511m | 18.5km |
| 424d3bb4-d39d-4f4e-9ae8-a59231bb330d | 태화산 | 태화산 2번 코스 (왕복코스) | 18440m | 18.4km |
| 53960d95-be5b-49d3-8da5-642daa8527b5 | 도봉산 | 도봉산 42번 코스 (역방향) | 18433m | 18.4km |
| b4d1a96d-f1c2-4a19-b6a1-b2d6b334af5b | 청량산 | 청량산 2번 코스 (역방향) | 18344m | 18.3km |
| abff8264-0e38-4efe-a418-843bc9822d50 | 치악산 | 치악산 1번 코스 (정방향) | 18170m | 18.2km |
| 400e51f8-721e-44cf-bd96-e34a296a8a01 | 용화산 | 용화산 8번 코스 (왕복코스) | 17961m | 18km |
| 9aa9aceb-c2b6-4e81-b5cd-6d371eea20a7 | 소백산 | 소백산 6번 코스 (역방향) | 17944m | 17.9km |
| 377cc44b-daf2-4130-927a-5cab9dbceb7b | 공작산 | 공작산 9번 코스 (왕복코스) | 17895m | 17.9km |
| bcb13363-1bb5-4d32-8112-6cb7cadbcd23 | 덕유산 | 덕유산 4번 코스 (역방향) | 17834m | 17.8km |
| 6f42ce66-9d66-4246-b9ca-4482e17ae6ff | 신불산 | 신불산 16번 코스 (역방향) | 17735m | 17.7km |
| 4fb2dc79-77ee-4976-bf8a-de128127effa | 백운산(광양) | 백운산(광양) 1번 코스 (정방향) | 17727m | 17.7km |
| d73f388b-4410-441b-bee7-38566b30790a | 운문산 | 운문산 1번 코스 (정방향) | 17679m | 17.7km |
| f2074469-4680-49d4-b5ad-96c1780294dd | 도봉산 | 도봉산 41번 코스 (정방향) | 17672m | 17.7km |
| 60a96a9d-25f2-4951-803a-fbde1911c3f2 | 오대산 | 오대산 2번 코스 (정방향) | 17593m | 17.6km |
| 9c710fea-2254-4c57-b984-2899af0fb717 | 축령산 | 축령산 3번 코스 (왕복코스) | 17563m | 17.6km |
| 71d0cb9b-3031-43b4-a627-1290ea69dfb0 | 무등산 | 무등산 18번 코스 (역방향) | 17532m | 17.5km |
| 6b86e107-4fea-4f42-92e0-9b82283d45a0 | 천마산 | 천마산 5번 코스 (정방향) | 17530m | 17.5km |
| fbc7d15f-c4bb-4e49-8c8d-11b36376a17f | 태화산 | 태화산 1번 코스 (왕복코스) | 17502m | 17.5km |
| 44199247-c413-404e-b292-ab5bb72bba61 | DMZ펀치볼둘레길 | DMZ펀치볼둘레길 3번 코스 (역방향) | 17432m | 17.4km |
| b8f224c5-c95f-427c-a8e0-66c9ed01438a | 북한산 | 북한산 19번 코스 (역방향) | 17383m | 17.4km |
| 258f96d1-e44d-4dde-8c31-5ef4f9f1e585 | 금정산 | 금정산 16번 코스 (정방향) | 17358m | 17.4km |
| 4d5e469f-1b26-43fc-af9a-fd10a7ec368d | 태백산 | 태백산 3번 코스 (역방향) | 17322m | 17.3km |
| cf3652cc-074a-4055-a824-6475cbc49c9b | 울진금강소나무숲길 | 울진금강소나무숲길 6번 코스 (역방향) | 17286m | 17.3km |
| 4c247118-e7ae-4699-a60d-8dd1cc3db593 | 도봉산 | 도봉산 40번 코스 (역방향) | 17265m | 17.3km |
| 777f877b-0051-4c10-8ff3-7d7da6813a03 | 유명산 | 유명산 6번 코스 (역방향) | 17251m | 17.3km |
| 99287965-7872-4df8-9d4e-a6b26198f86d | 방장산 | 방장산 3번 코스 (왕복코스) | 17238m | 17.2km |
| fc4cb77b-32fe-4fa2-9983-80aacf4fae41 | 대야산 | 대야산 3번 코스 (왕복코스) | 17216m | 17.2km |
| dad280c7-d46e-44e2-b5cd-6eeee4d7a8dc | 금오산 | 금오산 7번 코스 (정방향) | 17111m | 17.1km |
| 735f5293-a4e6-4347-af27-d9e601ec0f99 | 도봉산 | 도봉산 36번 코스 (역방향) | 17088m | 17.1km |
| b5d84bdd-0cb4-4529-a053-12b49abea179 | 금정산 | 금정산 21번 코스 (정방향) | 17071m | 17.1km |
| 5c5c7ae1-0914-4c68-840b-67456ab3f213 | 대야산 | 대야산 1번 코스 (왕복코스) | 17033m | 17km |
| 4bdc364a-6b60-450e-bd94-561aafa76e03 | 신불산 | 신불산 14번 코스 (역방향) | 17015m | 17km |
| 41fa0cac-e366-4aed-8fdb-47bb5f27a255 | 신불산 | 신불산 14번 코스 (정방향) | 17015m | 17km |
| 3b792141-bb9f-49cd-9873-d4933d181562 | 백운산(포천) | 백운산(포천) 5번 코스 (정방향) | 16997m | 17km |
| a7333fc2-d1ea-484e-ac2b-34f9be118939 | 팔공산 | 팔공산 2번 코스 (왕복코스) | 16983m | 17km |
| ba889af7-3d10-42c9-a371-b967706ab4cd | 장안산 | 장안산 1번 코스 (정방향) | 16922m | 16.9km |
| ba0d8189-9b45-45e1-9be0-509c915cfbc5 | 도봉산 | 도봉산 39번 코스 (역방향) | 16792m | 16.8km |
| 92d4bf4f-a49a-467c-91a6-41ba3761cc70 | 북한산 | 북한산 21번 코스 (정방향) | 16767m | 16.8km |
| e7156df1-af40-460c-a2cc-3166f6c674a7 | 신불산 | 신불산 3번 코스 (역방향) | 16724m | 16.7km |
| cad83e73-27d0-4920-806a-6182ed5613e4 | 두륜산 | 두륜산 1번 코스 (정방향) | 16705m | 16.7km |
| 429c4bbc-2243-46a9-bf4e-7f936a0772f0 | 가리왕산 | 가리왕산 1번 코스 (역방향) | 16659m | 16.7km |
| 7d60ecea-c9d4-4f18-8a84-fa729d4e3f59 | 천태산 | 천태산 1번 코스 (역방향) | 16584m | 16.6km |
| 238ce361-3e19-4546-9fc3-6c1d8cb96c34 | 무등산 | 무등산 17번 코스 (정방향) | 16566m | 16.6km |
| b13e7498-56da-42c5-b352-6998c42a57d8 | 백운산(광양) | 백운산(광양) 5번 코스 (정방향) | 16557m | 16.6km |
| 14c97a93-09e0-4b21-b5f6-f64965854d56 | 화악산 | 화악산 6번 코스 (왕복코스) | 16527m | 16.5km |
| b06deae6-4623-4c6b-b94a-f7962213fd5d | 한라산 | 한라산 5번 코스 (정방향) | 16512m | 16.5km |
| 410fc9af-6445-478b-aa3b-9ea160e3bb0c | 구병산 | 구병산 1번 코스 (정방향) | 16474m | 16.5km |
| 98e55455-78e5-479c-bd2b-f2b4e0dd3d5f | 내포문화숲길 | 내포문화숲길 4번 코스 (왕복코스) | 16396m | 16.4km |
| b733bb67-8550-48d4-a089-7c5a8762dd93 | 재약산 | 재약산 3번 코스 (정방향) | 16360m | 16.4km |
| d6d45204-e674-4585-b7a2-72bbf630f166 | 공작산 | 공작산 1번 코스 (왕복코스) | 16347m | 16.3km |
| 61f2b768-c2af-4ad9-9db1-1df1c1f0f178 | 금오산 | 금오산 9번 코스 (역방향) | 16295m | 16.3km |
| c80f9cf4-e3b7-4b21-896c-1aaafdd78e20 | 내장산 | 내장산 3번 코스 (왕복코스) | 16160m | 16.2km |
| 8eef09ce-fefe-4656-8530-12f3bd429138 | 지리산둘레길 | 지리산둘레길 7번 코스 (왕복코스) | 16103m | 16.1km |
| a7073ab3-74a7-4a9d-ac1c-0f1140da4e10 | 마이산 | 마이산 2번 코스 (역방향) | 16027m | 16km |
| f787c3fb-87a9-4836-a546-e27d85d6ce20 | 적상산 | 적상산 1번 코스 (정방향) | 15929m | 15.9km |
| d7df9d84-362a-4f70-990f-1d0383224504 | 유명산 | 유명산 7번 코스 (역방향) | 15926m | 15.9km |
| 684a3587-efff-4281-91e5-b3822960bb30 | 운악산 | 운악산 3번 코스 (정방향) | 15802m | 15.8km |
